"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000003862","LRRFIP1",175,153,529,405,988,455,146,226
"ENSGALG00000003899","RAB17",1,5,13,19,72,23,18,8
"ENSGALG00000040716","PRLH",2,5,4,6,41,19,11,9
"ENSGALG00000003904","MLPH",12,7,38,45,139,74,23,18
"ENSGALG00000003923","COL6A3",159,100,364,363,1027,383,183,176
"ENSGALG00000049457","ENSGALG00000049457",3,5,20,8,15,10,4,2
"ENSGALG00000048801","ENSGALG00000048801",22,9,49,10,53,16,7,11
"ENSGALG00000033385","COPS8",1321,1035,4317,4923,8594,3874,1976,1747
"ENSGALG00000052880","ENSGALG00000052880",2,1,3,20,29,4,11,12
"ENSGALG00000054647","ENSGALG00000054647",11,6,5,8,12,7,8,16
"ENSGALG00000021031","ACKR3",214,146,668,495,1026,731,267,350
"ENSGALG00000053411","ENSGALG00000053411",4,3,22,9,39,13,11,10
"ENSGALG00000003980","IQCA1",8,6,29,19,71,29,11,13
"ENSGALG00000046564","ASB18",11,2,0,19,41,11,5,12
"ENSGALG00000013342","GBX2",12,9,37,37,105,29,38,21
"ENSGALG00000004045","AGAP1",93,70,246,187,627,199,120,136
"ENSGALG00000025253","gga-mir-1694",0,0,0,3,7,0,1,0
"ENSGALG00000054124","ENSGALG00000054124",1,3,10,1,30,9,6,8
"ENSGALG00000048518","ENSGALG00000048518",3,4,8,5,27,19,10,15
"ENSGALG00000004116","TRPM8",9,8,37,15,65,16,20,43
"ENSGALG00000004129","SPP2",5,3,8,11,26,10,10,4
"ENSGALG00000052743","ARL4C",262,286,865,725,1411,542,296,268
"ENSGALG00000004140","SH3BP4",260,219,1029,766,1437,763,302,311
"ENSGALG00000004196","UGT1A1",6,4,6,15,71,13,8,4
"ENSGALG00000053358","ENSGALG00000053358",6,12,41,9,60,12,11,13
"ENSGALG00000044780","ENSGALG00000044780",8,6,7,9,36,13,24,12
"ENSGALG00000004228","USP40",49,73,277,179,573,200,88,183
"ENSGALG00000004236","TRAF3IP1",320,278,931,780,1518,653,397,358
"ENSGALG00000004272","ASB1",34,14,45,19,83,42,16,9
"ENSGALG00000050371","ENSGALG00000050371",1,2,26,9,33,5,10,2
